6.4717	6.6754
-45.35236359	-44.6693151
-77.36485983	-78.4093642
-61.2823638	-61.65530953
-76.24756143	-73.85503476
-25.44830818	-25.86518603
3.3974	4.0631
3.7929	4.146
2.1907	2.4538
2.0716	2.5532
1.4947	1.6274
2.2284	2.3466
8.7645	9.063
-52.8099694	-52.37352755
-60.91705867	-62.93924774
-62.35505545	-60.84480459
-73.3689691	-71.49418112
-33.25297981	-33.10009678
4.3061	4.6389
2.6706	2.9631
2.5416	2.5651
2.2003	2.6943
1.4477	1.2585
4.134	4.4794
4.0413	4.0833
-52.07406195	-53.26147184
-66.29451607	-67.97667256
-64.17349809	-63.63612498
-69.70330034	-67.18151123
-42.83143671	-43.46715898
2.7742	2.7749
2.6057	3.2292
2.352	2.7154
1.4188	1.6041
2.1313	2.3133
3.5688	3.5741
5.6125	5.7877
-50.33318257	-52.0229764
-61.41546823	-61.86678241
-78.73348115	-78.81077474
-63.44380742	-61.7984492
-34.86263371	-34.49845774
3.1445	3.407
4.315	4.7334
2.5759	2.9231
1.5847	1.8249
1.0751	1.2151
3.002	3.046
7.9758	7.7773
-49.4287282	-49.95143737
-65.96380005	-67.47848365
-85.28162287	-83.11611829
-67.83580378	-65.6590982
-47.41946378	-46.92211593
4.0683	4.2664
2.5547	2.7297
2.5516	2.8584
2.4834	2.7184
2.2063	2.3872
3.349	3.2502
6.1291	6.5675
-50.21679131	-52.09286255
-75.51197576	-76.5863339
-80.45426231	-79.85635254
-73.35583631	-71.6907543
-43.57352778	-43.58516156
3.6407	3.8661
3.6779	4.0302
2.5605	2.8708
2.1283	2.5859
1.474	1.6812
2.7272	2.784
5.8389	6.0206
-38.1161063	-37.75952634
-58.16251796	-58.97370026
-74.54464935	-73.4569372
-61.93440157	-59.94669001
-44.85183344	-45.07030642
4.85	5.4704
3.4093	3.6489
2.0493	2.662
2.1354	2.4899
1.9915	2.1207
2.8619	3.0357
5.0701	5.3313
-34.75060928	-34.1820483
-60.50950192	-61.22052881
-68.72960694	-67.14007802
-76.46495737	-74.53415283
-35.50010094	-35.54583039
3.7136	4.0569
3.3167	3.6234
2.9205	3.6791
1.627	2.2766
1.3427	1.4496
2.5963	2.6446
5.6631	5.9873
-37.65145166	-34.82455297
-59.1935846	-59.67822176
-88.01291285	-86.7285803
-60.52554822	-58.4778943
-35.33191683	-35.30768954
5.0119	5.3495
2.9319	3.2747
1.865	2.2255
2.2185	2.6013
2.0671	2.3526
3.4515	3.4643
6.6079	6.8162
-38.82141772	-38.03433176
-66.44896658	-67.73403921
-78.31327207	-76.33789186
-66.21305653	-64.75196168
-45.52011904	-46.09185234
5.4548	6.0484
3.8645	4.3179
2.1732	3.0379
